Neighborhood-Latitude,Neighborhood-Longitude,Postal Code,Venue,Venue_Category,Venue_Latitude,Venue_Longitude,Count
43.7532586,-79.3296565,M3A,Brookbanks Park,Park,43.751976046055574,-79.33214044722958,1
43.7532586,-79.3296565,M3A,Variety Store,Food & Drink Shop,43.75197441585782,-79.33311418516017,1
43.725882299999995,-79.31557159999998,M4A,Victoria Village Arena,Hockey Arena,43.72348055545508,-79.31563520925143,1
43.725882299999995,-79.31557159999998,M4A,Portugril,Portuguese Restaurant,43.72581876267242,-79.31278541470671,1
43.725882299999995,-79.31557159999998,M4A,Tim Hortons,Coffee Shop,43.725516631714754,-79.31310251366091,1
43.725882299999995,-79.31557159999998,M4A,The Frig,French Restaurant,43.72705130603407,-79.31741760908679,1
43.725882299999995,-79.31557159999998,M4A,Pizza Nova,Pizza Place,43.725823726352196,-79.31286041792907,1
43.6542599,-79.3606359,M5A,Roselle Desserts,Bakery,43.653446723052674,-79.3620167174383,1
43.6542599,-79.3606359,M5A,Tandem Coffee,Coffee Shop,43.65355870959944,-79.36180945913513,1
43.6542599,-79.3606359,M5A,Cooper Koo Family YMCA,Distribution Center,43.65324910177244,-79.35800826343677,1
43.6542599,-79.3606359,M5A,Body Blitz Spa East,Spa,43.65473505045365,-79.35987433132891,1
43.6542599,-79.3606359,M5A,Impact Kitchen,Restaurant,43.65636850543279,-79.35697968750694,1
43.6542599,-79.3606359,M5A,Corktown Common,Park,43.655617799749734,-79.3562113397429,1
43.6542599,-79.3606359,M5A,Morning Glory Cafe,Breakfast Spot,43.653946942635294,-79.36114884214422,1
43.6542599,-79.3606359,M5A,The Extension Room,Gym / Fitness Center,43.65331304337331,-79.35972538072777,1
43.6542599,-79.3606359,M5A,The Distillery Historic District,Historic Site,43.65024435658077,-79.35932278633118,1
43.6542599,-79.3606359,M5A,Dominion Pub and Kitchen,Pub,43.65691857501867,-79.35896684476664,1
43.6542599,-79.3606359,M5A,Distillery Sunday Market,Farmers Market,43.650074989330655,-79.36183171318665,1
43.6542599,-79.3606359,M5A,Figs Breakfast & Lunch,Breakfast Spot,43.65567455427388,-79.3645032892494,1
43.6542599,-79.3606359,M5A,Arvo,Coffee Shop,43.64996280366945,-79.36144178325522,1
43.6542599,-79.3606359,M5A,Brick Street Bakery,Bakery,43.650574039683974,-79.35953942981405,1
43.6542599,-79.3606359,M5A,Cacao 70,Dessert Shop,43.650066694561666,-79.36072263183006,1
43.6542599,-79.3606359,M5A,Rooster Coffee,Coffee Shop,43.65189965670432,-79.36560912104514,1
43.6542599,-79.3606359,M5A,Sumach Espresso,Coffee Shop,43.65813540553308,-79.35951549011845,1
43.6542599,-79.3606359,M5A,SOMA chocolatemaker,Chocolate Shop,43.65062222570758,-79.35812684032683,1
43.6542599,-79.3606359,M5A,Underpass Park,Park,43.65576361726024,-79.3548059463501,1
43.6542599,-79.3606359,M5A,Young Centre for the Performing Arts,Performing Arts Venue,43.65082466432163,-79.35759324240415,1
43.6542599,-79.3606359,M5A,Starbucks,Coffee Shop,43.651613,-79.364917,1
43.6542599,-79.3606359,M5A,Cluny Bistro & Boulangerie,French Restaurant,43.650565116074695,-79.35784287026658,1
43.6542599,-79.3606359,M5A,Dark Horse Espresso Bar,Coffee Shop,43.653080578844275,-79.3570778621122,1
43.6542599,-79.3606359,M5A,The Sweet Escape Patisserie,Bakery,43.65063217302609,-79.35870913127346,1
43.6542599,-79.3606359,M5A,Parliament Square Park,Park,43.65026388338689,-79.36219509081177,1
43.6542599,-79.3606359,M5A,ODIN Cafe + Bar,Café,43.656738544928054,-79.35650305267754,1
43.6542599,-79.3606359,M5A,El Catrin,Mexican Restaurant,43.650600737116996,-79.35892024942333,1
43.6542599,-79.3606359,M5A,The Yoga Lounge,Yoga Studio,43.65551522261721,-79.36495542526245,1
43.6542599,-79.3606359,M5A,Caffe Furbo,Café,43.649969882303814,-79.35884946388191,1
43.6542599,-79.3606359,M5A,The Aviary,Pub,43.65363394725125,-79.35466212072043,1
43.6542599,-79.3606359,M5A,Alumnae Theatre,Theater,43.65275554626444,-79.36475283805089,1
43.6542599,-79.3606359,M5A,Soulpepper Theatre,Theater,43.65078003430492,-79.35761534068922,1
43.6542599,-79.3606359,M5A,Berkeley Church,Event Space,43.65512324174501,-79.36587330410705,1
43.6542599,-79.3606359,M5A,John Fluevog Shoes,Shoe Store,43.64989585773889,-79.3594359503061,1
43.6542599,-79.3606359,M5A,Greg's Ice Cream,Ice Cream Shop,43.65010164153305,-79.3604404498866,1
43.6542599,-79.3606359,M5A,Mill St. Brew Pub,Pub,43.65035331843578,-79.35848936650571,1
43.6542599,-79.3606359,M5A,Arta Gallery,Art Gallery,43.650022181882065,-79.36122168476822,1
43.6542599,-79.3606359,M5A,Vistek,Electronics Store,43.65704640025721,-79.35966695607046,1
43.6542599,-79.3606359,M5A,The Abnormal Beauty Company,Cosmetics Shop,43.649892147380996,-79.3610051085219,1
43.6542599,-79.3606359,M5A,TD Canada Trust,Bank,43.652779762702764,-79.3563362625656,1
43.718517999999996,-79.46476329999999,M6A,Roots,Boutique,43.71821373389962,-79.46389305304558,1
43.718517999999996,-79.46476329999999,M6A,Kitchen Stuff Plus (Clearance Outlet),Furniture / Home Store,43.71909636823933,-79.46267482419971,1
43.718517999999996,-79.46476329999999,M6A,Lac Vien Vietnamese Restaurant,Vietnamese Restaurant,43.72125878799614,-79.46847226859448,1
43.718517999999996,-79.46476329999999,M6A,Orfus Road Shopping Outlets,Clothing Store,43.719045296434736,-79.46084915034818,1
43.718517999999996,-79.46476329999999,M6A,Tim Hortons,Coffee Shop,43.7194274,-79.4679949,1
43.718517999999996,-79.46476329999999,M6A,Ardene Shoes Outlet,Accessories Store,43.718892366644944,-79.46134358371631,1
43.718517999999996,-79.46476329999999,M6A,Rinx Real Entertainment Centre,Event Space,43.71784220022086,-79.46223069665501,1
43.718517999999996,-79.46476329999999,M6A,International Clothiers,Clothing Store,43.717997,-79.46672,1
43.718517999999996,-79.46476329999999,M6A,Urban Behavior,Clothing Store,43.71889855313541,-79.46469467303574,1
