Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,cluster,Postal Code,GrpIdx,Rental Prices per sqm,Growth last decade %,AirBnb availability (>5),AirBnB availability (>50),Income Gross,Google searches for rental flat ranked,Tourist Area inidicator ,Asian_cuisine_available,Neighborhood-Latitude,Neighborhood-Longitude
 Donaustadt,American Restaurant,Indian Restaurant,Food & Drink Shop,Restaurant,Bus Stop,3,1220,4,15.59,22.0,1,1,38125,2,1,0,48.218999999999994,16.495
 Leopoldstadt,Theme Park Ride / Attraction,Restaurant,Café,Hotel,Museum,0,1020,12,16.51,12.3,1,1,33189,4,1,0,48.2167,16.4
